net,length_um
soc.bios_doutb\[29\],696.01
net57,695.92
soc.dmem_dout\[5\],693.66
soc.bios_doutb\[7\],693.14
soc.bios_doutb\[1\],690.86
_02909_,690.06
_02277_,689.98
soc.bios_doutb\[12\],689.59
_08303_,689.37
soc.dmem_dout\[2\],688.54
soc.dmem_dout\[1\],688.08
soc.bios_doutb\[24\],686.3
soc.bios_doutb\[3\],685.86
_02518_,685.32
_08152_,683.66
soc.bios_doutb\[11\],682.66
_02407_,681.63
_02898_,680.48
_02455_,680.34
_02324_,679.54
soc.bios_doutb\[17\],678.68
soc.bios_doutb\[14\],678.6
soc.bios_doutb\[5\],678.06
_02946_,677.68
soc.bios_doutb\[6\],677.6
_08314_,677.39
_02481_,675.8
soc.dmem_dout\[3\],675.78
_01931_,674.99
soc.bios_doutb\[31\],674.93
soc.bios_doutb\[13\],673.18
_02113_,672.47
soc.bios_doutb\[30\],672.36
soc.bios_doutb\[27\],671.5
soc.bios_doutb\[15\],671.08
_02603_,670.69
_08389_,669.46
_08352_,668.68
clknet_4_13__leaf_soc.bspi.b2o.wck,668.34
_03461_,666.97
soc.bios_doutb\[25\],665.8
_02787_,663.095
soc.bios_doutb\[21\],662.7
_08490_,661.61
soc.bios_doutb\[18\],660.4
_02313_,660.26
_03506_,659.21
_08414_,657.71
soc.bios_doutb\[2\],657.34
soc.dmem_dout\[4\],656.9
_07655_,655.5
_08163_,653.54
soc.bios_doutb\[9\],652.16
soc.bios_doutb\[28\],651.86
soc.bios_doutb\[26\],651.28
_04014_,651.16
_02873_,650.91
_08151_,649.32
_02862_,648.48
_01880_,648.02
_01895_,646.7
soc.bios_doutb\[4\],645.8
soc.dmem_dout\[0\],645.54
_02834_,642.54
_02226_,642.49
_02628_,640.15
_01942_,639.59
_08276_,638.88
_08436_,638.58
_08255_,635.77
_02739_,634.84
_01967_,632.93
_03428_,632.12
_02529_,631.73
_02664_,631.15
_08234_,630.71
_02884_,629.42
_03501_,628.99
_02492_,628.56
net26,628.3
_02134_,628.26
_02288_,627.87
_08501_,627.7
_08400_,627.53
_02675_,627.44
_02957_,626.68
_08184_,622.82
_01989_,620.45
_02750_,620.315
_08205_,620.31
_02702_,616.01
net10,615.68
_03532_,615.25
_03415_,614.32
_08453_,613.97
_08146_,610.01
_03429_,609.76
_03414_,608.91
_03389_,608.81
